hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,"Gross domestic product, constant prices","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Inflation, average consumer prices",Volume of imports of goods and services,Volume of exports of goods and services,Unemployment rate,Current account balance,Date,GSPC.Close
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2014,1,190.43,194.09,2.288,53141.85,55083.51,15.993,1.615,5.16,3.883,6.158,-2.109,01-01-2014,1782.589966
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2014,2,199.06,196.36,2.288,53141.85,55083.51,15.993,1.615,5.16,3.883,6.158,-2.109,01-02-2014,1859.449951
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2014,3,200.21,196.8,2.288,53141.85,55083.51,15.993,1.615,5.16,3.883,6.158,-2.109,01-03-2014,1872.339966
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2014,4,197.75,198.19,2.288,53141.85,55083.51,15.993,1.615,5.16,3.883,6.158,-2.109,01-04-2014,1883.949951
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2015,1,196.02,199.44,2.707,54187.9,56729.68,16.254,0.121,5.187,0.271,5.275,-2.244,01-01-2015,1994.98999
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2015,2,205.16,202.44,2.707,54187.9,56729.68,16.254,0.121,5.187,0.271,5.275,-2.244,01-02-2015,2104.5
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2015,3,208.37,205.05,2.707,54187.9,56729.68,16.254,0.121,5.187,0.271,5.275,-2.244,01-03-2015,2067.889893
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2015,4,206.08,206.5,2.707,54187.9,56729.68,16.254,0.121,5.187,0.271,5.275,-2.244,01-04-2015,2085.51001
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2016,1,205.34,208.48,1.668,54700.34,57839.99,16.073,1.267,1.451,0.407,4.875,-2.119,01-01-2016,1940.23999
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2016,2,214.18,211.53,1.668,54700.34,57839.99,16.073,1.267,1.451,0.407,4.875,-2.119,01-02-2016,1932.22998
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2016,3,217.36,214.16,1.668,54700.34,57839.99,16.073,1.267,1.451,0.407,4.875,-2.119,01-03-2016,2059.73999
traditional,expanded-data,quarterly,USA or Census Division,New England Division,DV_NE,2016,4,217.34,217.77,1.668,54700.34,57839.99,16.073,1.267,1.451,0.407,4.875,-2.119,01-04-2016,2065.300049
